feature_set,N,metric,mean,std
fs_a_only,200,auc,0.9073015873015873,0.054946777886430945
fs_a_only,200,f1,0.9180102632133142,0.016338585369435974
fs_a_only,200,acc,0.8745762711864409,0.025704662522208686
fs_a_only,200,auc_AR,0.8993359447812889,0.059545617075083775
fs_a_only,200,auc_0MC,0.9634920634920634,0.051921991218400375
fs_a_only,300,auc,0.8388157894736843,0.038642566198916845
fs_a_only,300,f1,0.8275276317846705,0.036948521704694676
fs_a_only,300,acc,0.7725490196078432,0.042958631961189486
fs_a_only,300,auc_AR,0.852829131652661,0.05085342930312642
fs_a_only,300,auc_0MC,0.8666666666666666,0.12472191289246469
fs_a_only,400,auc,0.8553333333333333,0.018536750284532364
fs_a_only,400,f1,0.8033244996111651,0.016339723924077593
fs_a_only,400,acc,0.7918367346938775,0.022356022755312926
fs_a_only,400,auc_AR,0.8472232063201816,0.01784637826358021
fs_a_only,400,auc_0MC,0.9775,0.03112474899497184
fs_a_plus_cap_c5,200,auc,0.9228571428571428,0.05750108174297672
fs_a_plus_cap_c5,200,f1,0.9194598105939477,0.031904190665046725
fs_a_plus_cap_c5,200,acc,0.8779661016949152,0.047031989578005466
fs_a_plus_cap_c5,200,auc_AR,0.9218944864693853,0.0612202358859202
fs_a_plus_cap_c5,200,auc_0MC,0.9857142857142858,0.03194382824999698
fs_a_plus_cap_c5,300,auc,0.8634868421052632,0.029582410770731843
fs_a_plus_cap_c5,300,f1,0.8302401528099127,0.016221484077370472
fs_a_plus_cap_c5,300,acc,0.7803921568627451,0.02147931598059475
fs_a_plus_cap_c5,300,auc_AR,0.8688295945158689,0.03871700444067092
fs_a_plus_cap_c5,300,auc_0MC,0.8833333333333332,0.11055415967851334
fs_a_plus_cap_c5,400,auc,0.849,0.02280959836949742
fs_a_plus_cap_c5,400,f1,0.7970652055694073,0.027065302908906356
fs_a_plus_cap_c5,400,acc,0.7877551020408162,0.030950512016536973
fs_a_plus_cap_c5,400,auc_AR,0.8407365522502411,0.02684552802122433
fs_a_plus_cap_c5,400,auc_0MC,0.9724999999999999,0.037914377220257735
